,user,gender,province,time,text,mk,ks
70,3217535201.0,f,400,Thu Jan 10 18:57:40 +0800 2013,回复@棋梓2010:淘宝商品:【sauir北美代购】美国包税直邮 Michael Kors dillon小号两用包 http://t.cn/RyGk64M (👉👉👉复制整段信息，打开手机淘宝可直接访问👈👈👈),1.0,0.0
71,1307379780.0,m,21,Wed Oct 13 21:48:35 +0800 2010,Givenchy，Jason Wu，Kate Spade[鼓掌][鼓掌][鼓掌][拍照],0.0,1.0
72,1867018603.0,f,35,Fri Nov 19 09:42:13 +0800 2010,回复@KSH的安安:还打五折[哈哈],0.0,1.0
73,2692806531.0,m,51,Tue Apr 03 13:49:32 +0800 2012,michael kors其实算第六家了...万象城之前也围挡了一家..估计乐天这家会先开,1.0,0.0
74,1782521753.0,f,400,Fri Jul 23 14:42:55 +0800 2010,你忘了MK[哈哈][哈哈],1.0,0.0
75,1776820767.0,f,21,Fri Jul 16 17:22:19 +0800 2010,mk囧包你家有吗,1.0,0.0
76,1766259152.0,f,44,Fri Jun 25 12:04:29 +0800 2010,最近mk锁头中号什么价钱啊？,1.0,0.0
77,1804582820.0,f,44,Wed Sep 01 12:04:21 +0800 2010,Michael Kors Selma Stud 大白菜价格中号耳朵包钉钉款Chili 色，原价328美元，现在1599元，包国际邮费，再由顺丰到付，有名牌百货公司的小票，只有1个现货😍😍,1.0,0.0
78,5601612155.0,f,400,Tue May 05 10:27:40 +0800 2015,出个白菜价的mk哦 http://t.cn/Ry5s54R,1.0,0.0
79,5629973942.0,f,51,Sat Jun 13 22:09:02 +0800 2015,回复@羡慕忙碌的猫:老兔虽然以前给MK走过秀但是感觉和他一直没多大交集，设计师也谈不上喜欢她，兔婊本人的风格和MK也不怎么搭，居然莫名其妙捞个开场。,1.0,0.0
80,2949063853.0,m,100,Sat Sep 15 22:44:34 +0800 2012,这是要接班karmen么 mk感觉综合club monaco的城市休闲加free people的阳光慵懒 兔子都很ok撒、、、、我是人设脑残粉[呵呵],1.0,0.0
81,1790786643.0,m,61,Mon Aug 09 19:01:14 +0800 2010,回复@jos额:karmen代言人的位置应该近几年无人能取代吧！她一直是michael的最爱！就是其他一些鞋子 之类的系列被其他人代言，但是只是仅仅那么一季，karmen代言人的位置还是稳坐啊！哈哈哈,1.0,0.0
82,2213089624.0,f,100,Sun Jul 03 22:16:57 +0800 2011,最爱的一场MK，那时的书包发量也还丰盈,1.0,0.0
83,1908167737.0,f,51,Fri Dec 31 22:04:25 +0800 2010,回复@雪Erichsen:也是我最爱的MK之一，还有一场是SS 2015，其实书包可以考虑去植个发什么的……,1.0,0.0
84,5244006491.0,f,44,Thu Aug 07 21:03:12 +0800 2014,美女们了解一下mk，你定会爱上她[亲亲][亲亲],1.0,0.0
85,1867452570.0,f,31,Wed Nov 03 14:14:35 +0800 2010,哈哈哈哈哈哈 她跟mk真的不搭，刚刚刷其他po主的小图我还以为我看错人了,1.0,0.0
86,1790786643.0,m,61,Mon Aug 09 19:01:14 +0800 2010,回复@时装大片收藏馆:只是高端系列是妖婆代言，mmk还是karmen，这一季坐等吧！karmen若换掉mk就。。呵呵了！,1.0,0.0
87,2039648863.0,f,400,Tue Mar 22 19:39:08 +0800 2011,MK这次真的少了点抄袭的痕迹,1.0,0.0
88,3213785032.0,f,11,Tue Mar 05 13:46:45 +0800 2013,从没那么喜欢mk,1.0,0.0
89,2669370973.0,f,100,Sat Mar 17 22:11:33 +0800 2012,mk,1.0,0.0
90,5016125737.0,m,11,Tue Jan 28 20:25:30 +0800 2014,MK？,1.0,0.0
91,2742203455.0,f,42,Sun Apr 29 16:51:00 +0800 2012,早些离开了MK（一个奢侈品牌）今天的秀场 nyfw（new york fashion week）纽约时装周,1.0,0.0
92,1795214710.0,m,400,Thu Aug 19 20:10:07 +0800 2010,mk  has a good taste,1.0,0.0
93,1689323694.0,f,100,Sun Dec 05 11:29:39 +0800 2010,I love Michael kors,1.0,0.0
94,2155882842.0,f,33,Tue Apr 10 22:36:13 +0800 2012,翻译：今天早些时候离开Michael Kors秀。NYFW 是指New York fashion week纽约时装周（孩子们要好好学习啊）,1.0,0.0
95,1922641874.0,f,53,Thu Jan 20 11:14:42 +0800 2011,真是有够帅，我也喜欢MK,1.0,0.0
96,2414116024.0,f,61,Wed Sep 21 14:41:36 +0800 2011,looks like a 90's rock band.[噢耶]hv a nice day～@Luckybluesmith,0.0,1.0
97,1824499527.0,m,11,Thu Sep 30 16:08:05 +0800 2010,mk就一大抄！,1.0,0.0
98,1630695437.0,f,44,Tue Apr 19 22:55:26 +0800 2011,Michael Kors Collection16 SS 秀场细节,1.0,0.0
99,2155882842.0,f,33,Tue Apr 10 22:36:13 +0800 2012,翻译：今天早些时候和一起走秀的人在Michael Kors后台,1.0,0.0
100,3034341541.0,f,43,Wed Jan 02 08:01:20 +0800 2013,"蓝蓝，你看起来好像海绵宝宝。boy,you looks like SpongeBob in this picture, and i love spongebob[好爱哦] http://t.cn/RyIe8IK",0.0,1.0
101,2669385703.0,f,65,Sat Mar 17 22:17:54 +0800 2012,我爱的kate spade,0.0,1.0
102,3626211660.0,f,71,Wed Jul 31 22:24:42 +0800 2013,"what attracts me is not only your beauty,but your drum....and your thought.do what you want,do not care about other people s words....thanks a lot.  ...good night...Lucky blue.[心]",0.0,1.0
103,1750172502.0,f,400,Thu Jun 03 07:35:24 +0800 2010,Kate Spade Maise 经典单肩包 Bright Orange http://t.cn/RyJwb4P,0.0,1.0
104,1817637243.0,f,400,Fri Sep 10 21:41:04 +0800 2010,回复@吴一Winnie:Kate spade final sale 可代噢 低价 见微博第一条。,0.0,1.0
105,1817637243.0,f,400,Fri Sep 10 21:41:04 +0800 2010,回复@姐囧有钱又俊秀:Kate spade final sale超低价 可代噢 见微博第一条,0.0,1.0
106,2479140331.0,f,400,Sun Nov 20 14:56:49 +0800 2011,回复@我该取什么昵称才足够霸气:kate spade官网,0.0,1.0
107,2011081637.0,f,31,Mon Mar 07 12:49:32 +0800 2011,mk是不是折扣又有了啊。,1.0,0.0
108,5235328382.0,m,43,Tue Jul 29 02:24:51 +0800 2014,回复@marksonbam:学好英语 嫁给lucky[doge][doge][doge][doge][doge][doge],0.0,1.0
109,1067235082.0,f,33,Mon Jan 17 20:48:58 +0800 2011,你好，请问是ks官网吗，我想选下款式找你代购,0.0,1.0
110,2479140331.0,f,400,Sun Nov 20 14:56:49 +0800 2011,回复@dolldolldodo:ks官网也有，然后有另外一个ks折扣的网址，google kate spade sale应该可以,0.0,1.0
111,2949063853.0,m,100,Sat Sep 15 22:44:34 +0800 2012,想知道mk广告里的那种一片掠过的光影或者花影的效果是怎么做出来的，好像有个软件可以做，求科普,1.0,0.0
112,3856901689.0,m,23,Fri Apr 04 10:08:21 +0800 2014,回复@__魏太太__:MK门店装修中，即将启幕！COACH已于9月18日盛大启幕，期待您的到来！,1.0,0.0
113,2574546890.0,f,400,Wed Nov 30 20:07:28 +0800 2011,Michael kors 单肩包 ，无拉链有吸扣，这两色特价 ¥890直邮！ http://t.cn/RyK6rDc,1.0,0.0
114,2574546890.0,f,400,Wed Nov 30 20:07:28 +0800 2011,"Michael kors 专柜正价店款 变形包 折上折 小号¥1690, 中号 ¥2050，http://t.cn/RLfTS9v",1.0,0.0
115,5319321035.0,f,400,Mon Oct 06 16:02:37 +0800 2014,回复@南柯一梦9531:MkMK超柔软兔毛耳罩http://t.cn/Ryi25Ye,1.0,0.0
116,3625051850.0,f,100,Mon Jul 29 17:49:31 +0800 2013,回复@我很Zhou克杰:因为lily是mk的代言人,1.0,0.0
117,2043044672.0,f,400,Mon Mar 28 05:14:06 +0800 2011,Kate Spade把美国High Street Fashion 发扬的 甜美动人 光彩熠熠～ 蝴蝶结变成了美式青春！,0.0,1.0
118,1778529250.0,f,31,Fri Jul 06 09:54:59 +0800 2012,日了狗了 mk什么时候出月饼了？？？,1.0,0.0
119,1931827690.0,f,42,Fri Feb 04 07:38:03 +0800 2011,我的妈呀我的妈呀我的妈呀！虽然种草的是ks家的包包但是居！然！出！小！狐！狸！戒！指！刚刚才淘宝了但是都好吃藕然后就被我看见了这个！#然而并没有什么卵用，吃土少女我并买不起😀# ,0.0,1.0
120,3814649153.0,f,31,Thu Sep 26 20:52:26 +0800 2013,回复@港币娘子__比谁都爱火火男神W:啊？你买过ks这个款哒？一千多？你国内买的？,0.0,1.0
121,3516646437.0,f,11,Thu Jun 06 12:29:00 +0800 2013,Michael Kors 高帮厚底休闲鞋 原单正品官网同步出售最新款 简单大气火爆款 秋冬百搭小高帮短靴 面料采用进口龟裂蛇纹牛皮（黑色为光面小牛皮） 内里猪皮 防滑.耐磨橡胶大底 二色可选,1.0,0.0
122,5528685865.0,f,13,Thu Feb 19 14:04:33 +0800 2015,you looks really handsome when you are not smilling.,0.0,1.0
123,1790786643.0,m,61,Mon Aug 09 19:01:14 +0800 2010,karmen太美，完全是mk的muse,1.0,0.0
124,1790786643.0,m,61,Mon Aug 09 19:01:14 +0800 2010,回复@发呆半天:2015圣诞系列，也可以说是mk的冬季广告！mk杂志一年分为四季！,1.0,0.0
125,5629973942.0,f,51,Sat Jun 13 22:09:02 +0800 2015,回复@愚民鬼屋:其实也还好，MK是轻奢华，定位不上不下比较中端，平常人攒点钱也能买一买那种，请屌丝超模代言也不错,1.0,0.0
126,1720800593.0,m,33,Sun Mar 28 22:28:22 +0800 2010,人选大变动 上一季poky拿下主线 这次莎兔拿下早春 现在不是卡门一个人的'mk了,1.0,0.0
127,5263499466.0,m,400,Sat Aug 23 00:02:51 +0800 2014,真巧 昨天刚买了个MK的包[偷笑],1.0,0.0
128,2759010230.0,m,50,Tue Apr 17 20:37:53 +0800 2012,罗本给本嫂买MK!,1.0,0.0
129,2677880992.0,f,400,Sat Jan 21 21:55:58 +0800 2012,本嫂居然用MK包包[哈哈]好节约～[爱你]么么哒,1.0,0.0
130,1767406065.0,m,400,Sat Jul 03 22:05:13 +0800 2010,本本那么有钱本嫂还只用mk？本本好福气啊,1.0,0.0
131,1276255255.0,f,45,Fri Oct 29 06:45:44 +0800 2010,我也爱MK,1.0,0.0
132,1279169074.0,f,100,Tue Dec 29 16:56:30 +0800 2009,michael kor不等于michael michael kors～,1.0,0.0
133,5528214570.0,f,100,Thu Feb 19 15:06:02 +0800 2015,回复@TAIME:原博也没说错是mk啊[疑问],1.0,0.0
134,5528214570.0,f,100,Thu Feb 19 15:06:02 +0800 2015,回复@TAIME:就想问你怎么突然想到说他是买的mmk或者mk，算了，不过不重要,1.0,0.0
135,5622385005.0,f,31,Mon Jun 01 18:38:22 +0800 2015,katespade的做工[拜拜][拜拜][拜拜]我有个桔色的，没用几个月脱线了,0.0,1.0
136,5193155900.0,f,81,Thu Jun 26 11:11:07 +0800 2014,kate的那個好扁喔😂我裝很多東西不就鼓起來了[哈哈][哈哈],0.0,1.0
137,1811061014.0,f,31,Sat Sep 11 20:57:21 +0800 2010,回复@JanetMolin:我kete spade有2，3个包，有个玫红色背了3年了吧还好好的呢,0.0,1.0
138,1178751060.0,f,400,Thu May 05 19:22:51 +0800 2011,我买了这款Kate spade！打折的时候买的！700多人民币酒红色的感觉超级好看！,0.0,1.0
139,2111265882.0,f,400,Thu Nov 14 16:32:15 +0800 2013,回复@鹿鹿今年要挖很多铁皮2333:代kate spade 现在官网75折[兔子][来],0.0,1.0
140,3642039002.0,m,400,Sat Jul 20 01:07:01 +0800 2013,kate spade最佳又在打折 前一阵四折还是多少我买了俩包 最近七点五折 大家快去抢啊,0.0,1.0
141,5057494857.0,f,100,Wed Mar 05 09:32:17 +0800 2014,现在Kate Spade活动价4折优惠后只要RMB1200包邮包税！,0.0,1.0
142,5691898795.0,f,12,Sat Sep 19 19:43:13 +0800 2015,想买kate spade钱包，可惜天津市里的店铺竟然撤柜了。悲催[泪][泪][泪],0.0,1.0
143,5656573576.0,f,82,Sun Jul 19 15:41:42 +0800 2015,上半年买的ks这款黑色 真的各种白搭好背还比较能装[羞嗒嗒]准备下半年入furla[噢耶][甩甩手][甩甩手],0.0,1.0
144,2433262460.0,f,400,Fri Sep 30 10:35:28 +0800 2011,回复@邋遢二妞: 哈哈，那theory saks倒是参加的。不过还是先看看烧包吧，免邮呢 http://t.cn/Ryu91TD,0.0,1.0
145,2134365275.0,f,41,Sat May 14 15:22:48 +0800 2011,回复@美国网购指南:shS烧包theory居然不打折，Ssaks又不免邮，不太给力5555,0.0,1.0
146,2014603151.0,f,100,Sun Jul 31 23:53:10 +0800 2011,去年专柜打折后4500。背不到三次。。。。mk会会过时........,1.0,0.0
147,1839374840.0,f,42,Thu Jan 06 23:54:59 +0800 2011,@肉滚子大叶啊  你看要不要买个mk先用着,1.0,0.0
148,2599381422.0,m,42,Sat Dec 10 10:59:20 +0800 2011,回复@祁啃啃-O-:我在你给我发的那个代购那里买了ks,0.0,1.0
149,3232116644.0,f,33,Thu Mar 21 17:47:06 +0800 2013,回复@Drunk_Pillow:你好哪个颜色呢？订单截图搜微博输入ks或者katespade就可以,0.0,1.0
150,2134365275.0,f,41,Sat May 14 15:22:48 +0800 2011,回复@美国网购指南:http://www.saksfifthavenue.com/main/ProductDetail.jsp?FOLDER%3C%3Efolder_id=2534374306418048&PRODUCT%3C%3Eprd_id=845524446790552&R=887717643047&P_name=Theory&N=4294912273+306418048&bmUID=l1wmPUa 这个亲,0.0,1.0
151,1649283513.0,f,400,Wed Sep 23 20:41:28 +0800 2009,补到货了～Kate Spade WKRU2650 小羊皮菱格纹女士单肩包，斜挎包，蓝色，限时折上折938美国直邮美国直送包税：http://t.cn/Ry1vvcZ,0.0,1.0
152,3217535201.0,f,400,Thu Jan 10 18:57:40 +0800 2013,回复@小西妹_KSH: 链接 http://t.cn/Ry1hk0G,0.0,1.0
